disaster_id,year,event_name,location,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,associated_disaster,associated_disaster2,country_name,country_iso3,start_isodate,end_isodate,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam_usd
1980-9364,1980,,Mindanao,Natural,Climatological,Drought,Drought,,,,Philippines,PHL,1980-1,1980-7,0,0,1002100,0,1002100,0
1980-314,1980,,Santa Fe (Vizcaya Province),Natural,Geophysical,Mass movement dry,Rockfall,,,,Philippines,PHL,1980-11-11,1980-11-11 ,50,0,0,0,0,0
1980-136,1980,(Nitang/Osang),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-7-19,1980-7-19 ,36,55,58731,10451,69237,0
1980-133,1980,(Ditang),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-5-7,1980-5-7 ,0,0,2535,528,3063,808757.57
1980-132,1980,(Biring),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-3-20,1980-3-20 ,4,0,565,100,665,1124984.58
1980-99,1980,Betty (Aring),North and Central Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-11-6,1980-11-6 ,101,0,775000,229000,1004000,286283388.15
1980-70,1980,Kim,Cagayan Valley (Northwestern),Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-7-25,1980-7-25 ,40,0,190000,0,190000,0
1980-67,1980,Joe,Northern,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-7-21,1980-7-21 ,31,0,300000,300000,600000,43096424.02
1980-10,1980,,Mindanao,Natural,Hydrological,Flood,Flash flood,,,,Philippines,PHL,,,2,0,25980,0,25980,0
1981-293,1981,,,Natural,Hydrological,Mass movement wet,Landslide,,,,Philippines,PHL,,,200,0,0,0,0,0
1981-150,1981,,"Maco, Davao del Norte",Natural,Hydrological,Flood,Flash flood,,,,Philippines,PHL,1981-10-9,1981-10-9 ,125,122,0,0,122,0
1981-138,1981,(Yeyeng),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1981-11-17,1981-11-17 ,4,6,5663,67,5736,440004.02
1981-136,1981,(Rubing),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1981-8-16,1981-8-16 ,5,0,8526,1195,9721,34009412.29
1981-134,1981,(Daling),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1981-6-28,1981-6-28 ,210,36,12086,3356,15478,20047847.7
1981-112,1981,Lee (Dinang),"Samar, Mindoro, Luzon",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1981-12-25,1981-12-25 ,250,0,180000,0,180000,68503619.43
1981-101,1981,Irma (Anding),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1981-11-25,1981-11-25 ,261,95,840078,0,840173,92216410.77
1981-97,1981,,Lucena,Natural,Hydrological,Flood,,,,,Philippines,PHL,1981-11-7,1981-11-7 ,0,0,7500,0,7500,0
1981-83,1981,Clara,Northern Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1981-9-20,1981-9-20 ,55,0,18565,3340,21905,17652855.78
1981-62,1981,,Oriental Mindoro,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1981-7-4,1981-7-4 ,0,0,25000,3500,28500,0
1981-60,1981,,Albay province,Natural,Meteorological,Storm,,,,,Philippines,PHL,,,214,32,0,0,32,5269509.19
