disaster_id,disaster_location_id,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness,year,event_name,location,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,associated_disaster,associated_disaster2,country_name,country_iso3,start_isodate,end_isodate,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam_usd,even_split_dam_usd
1980-9364,1980-9364_1699597,1699597,1,Mindanao,8,125,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1,1980,,Mindanao,Natural,Climatological,Drought,Drought,,,,Philippines,PHL,1980-1,1980-7,0,0,1002100,0,1002100,0,0
1980-314,1980-314_1688177,1688177,1,Santa Fe,16.2,120.88333,ADM3,6295630|6255147|PH|02|1697456|1688177,Earth|Asia|Philippines|Cagayan Valley|Province of Nueva Vizcaya|Santa Fe,1,1,1980,,Santa Fe (Vizcaya Province),Natural,Geophysical,Mass movement dry,Rockfall,,,,Philippines,PHL,1980-11-11,1980-11-11 ,50,0,0,0,0,0,0
1980-99,1980-99_7521297,7521297,4,Cagayan Valley,17.65667,121.73333,ADM1,6295630|6255147|PH|02,Earth|Asia|Philippines|Cagayan Valley,1,1,1980,Betty (Aring),North and Central Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-11-6,1980-11-6 ,101,0,775000,229000,1004000,286283388.15,71570847.0375
1980-99,1980-99_7521301,7521301,4,Ilocos,16.97917,120.52083,ADM1,6295630|6255147|PH|01,Earth|Asia|Philippines|Ilocos,1,1,1980,Betty (Aring),North and Central Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-11-6,1980-11-6 ,101,0,775000,229000,1004000,286283388.15,71570847.0375
1980-99,1980-99_7521305,7521305,4,Central Luzon,15.30714,120.79762,ADM1,6295630|6255147|PH|03,Earth|Asia|Philippines|Central Luzon,1,1,1980,Betty (Aring),North and Central Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-11-6,1980-11-6 ,101,0,775000,229000,1004000,286283388.15,71570847.0375
1980-99,1980-99_7521300,7521300,4,Cordillera,17.0852,121.03322,ADM1,6295630|6255147|PH|15,Earth|Asia|Philippines|Cordillera,1,1,1980,Betty (Aring),North and Central Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-11-6,1980-11-6 ,101,0,775000,229000,1004000,286283388.15,71570847.0375
1980-70,1980-70_7521297,7521297,4,Cagayan Valley,17.65667,121.73333,ADM1,6295630|6255147|PH|02,Earth|Asia|Philippines|Cagayan Valley,1,1,1980,Kim,Cagayan Valley (Northwestern),Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1980-7-25,1980-7-25 ,40,0,190000,0,190000,0,0
1980-10,1980-10_1699597,1699597,1,Mindanao,8,125,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1,1980,,Mindanao,Natural,Hydrological,Flood,Flash flood,,,,Philippines,PHL,,,2,0,25980,0,25980,0,0
1981-150,1981-150_1715347,1715347,3,Province of Davao del Norte,7.45099,125.81543,ADM2,6295630|6255147|PH|11|1715347,Earth|Asia|Philippines|Davao|Province of Davao del Norte,1,1,1981,,"Maco, Davao del Norte",Natural,Hydrological,Flood,Flash flood,,,,Philippines,PHL,1981-10-9,1981-10-9 ,125,122,0,0,122,0,0
1981-150,1981-150_1704272,1704272,1,Maco,7.4,125.93333,ADM3,6295630|6255147|PH|11|1715347|1704272,Earth|Asia|Philippines|Davao|Province of Davao del Norte|Maco,1,1,1981,,"Maco, Davao del Norte",Natural,Hydrological,Flood,Flash flood,,,,Philippines,PHL,1981-10-9,1981-10-9 ,125,122,0,0,122,0,0
