disaster_id,location_id,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness
1980-9364,1980-9364_1699597,1699597,1,Mindanao,8,125,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1
1980-314,1980-314_1688177,1688177,1,Santa Fe,16.2,120.88333,ADM3,6295630|6255147|PH|02|1697456|1688177,Earth|Asia|Philippines|Cagayan Valley|Province of Nueva Vizcaya|Santa Fe,1,1
1980-136,1980-136_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1980-133,1980-133_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1980-132,1980-132_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1980-99,1980-99_7521297,7521297,4,Cagayan Valley,17.65667,121.73333,ADM1,6295630|6255147|PH|02,Earth|Asia|Philippines|Cagayan Valley,1,1
1980-99,1980-99_7521301,7521301,4,Ilocos,16.97917,120.52083,ADM1,6295630|6255147|PH|01,Earth|Asia|Philippines|Ilocos,1,1
1980-99,1980-99_7521305,7521305,4,Central Luzon,15.30714,120.79762,ADM1,6295630|6255147|PH|03,Earth|Asia|Philippines|Central Luzon,1,1
1980-99,1980-99_7521300,7521300,4,Cordillera,17.0852,121.03322,ADM1,6295630|6255147|PH|15,Earth|Asia|Philippines|Cordillera,1,1
1980-70,1980-70_7521297,7521297,4,Cagayan Valley,17.65667,121.73333,ADM1,6295630|6255147|PH|02,Earth|Asia|Philippines|Cagayan Valley,1,1
1980-67,1980-67_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1980-10,1980-10_1699597,1699597,1,Mindanao,8,125,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1
1981-293,1981-293_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1981-150,1981-150_1715347,1715347,3,Province of Davao del Norte,7.45099,125.81543,ADM2,6295630|6255147|PH|11|1715347,Earth|Asia|Philippines|Davao|Province of Davao del Norte,1,1
1981-150,1981-150_1704272,1704272,1,Maco,7.4,125.93333,ADM3,6295630|6255147|PH|11|1715347|1704272,Earth|Asia|Philippines|Davao|Province of Davao del Norte|Maco,1,1
1981-138,1981-138_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1981-136,1981-136_1694008,1694008,8,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,2
1981-134,1981-134_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1981-112,1981-112_1697549,1697549,3,Northern Samar,12.33333,124.66667,ADM2,6295630|6255147|PH|08|1697549,Earth|Asia|Philippines|Eastern Visayas|Northern Samar,1,1
1981-112,1981-112_1704846,1704846,1,Luzon,16,121,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Luzon,4,1
1981-112,1981-112_1690649,1690649,3,Province of Samar,11.83333,125,ADM2,6295630|6255147|PH|08|1690649,Earth|Asia|Philippines|Eastern Visayas|Province of Samar,1,1
1981-112,1981-112_1713986,1713986,3,Eastern Samar,11.53054,125.47647,ADM2,6295630|6255147|PH|08|1713986,Earth|Asia|Philippines|Eastern Visayas|Eastern Samar,1,1
1981-112,1981-112_1699590,1699590,1,Mindoro,12.9304,121.0947,ISL,6295630|6255147|PH|41|1699586|1699590,Earth|Asia|Philippines|Mimaropa|Province of Mindoro Occidental|Mindoro,4,1
1981-101,1981-101_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1981-97,1981-97_1705355,1705355,1,Lucena City,13.93333,121.61667,ADM3,6295630|6255147|PH|40|1692194|1705355,Earth|Asia|Philippines|Calabarzon|Quezon|Lucena City,1,1
1981-83,1981-83_1704846,1704846,1,Luzon,16,121,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Luzon,4,1
1981-62,1981-62_1699585,1699585,3,Oriental Mindoro,13.15555,121.26803,ADM2,6295630|6255147|PH|41|1699585,Earth|Asia|Philippines|Mimaropa|Oriental Mindoro,1,1
1981-60,1981-60_1731616,1731616,3,Province of Albay,13.21667,123.55,ADM2,6295630|6255147|PH|05|1731616,Earth|Asia|Philippines|Bicol|Province of Albay,1,1
1981-7,1981-7_1694008,1694008,8,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,2
1982-325,1982-325_1717951,1717951,1,Catanduanes Island,13.7925,124.26278,ISL,6295630|6255147|PH|05|1717952|1717951,Earth|Asia|Philippines|Bicol|Province of Catanduanes|Catanduanes Island,4,1
1982-195,1982-195_1715345,1715345,3,Province of Davao del Sur,6.33333,125.5,ADM2,6295630|6255147|PH|11|1715345,Earth|Asia|Philippines|Davao|Province of Davao del Sur,1,1
1982-195,1982-195_1715342,1715342,3,Province of Davao Oriental,7.16667,126.33333,ADM2,6295630|6255147|PH|11|1715342,Earth|Asia|Philippines|Davao|Province of Davao Oriental,1,1
1982-195,1982-195_1715347,1715347,3,Province of Davao del Norte,7.45099,125.81543,ADM2,6295630|6255147|PH|11|1715347,Earth|Asia|Philippines|Davao|Province of Davao del Norte,1,1
1982-193,1982-193_1685377,1685377,3,Province of Sultan Kudarat,6.55,124.28333,ADM2,6295630|6255147|PH|12|1685377,Earth|Asia|Philippines|Soccsksargen|Province of Sultan Kudarat,1,1
1982-193,1982-193_1703701,1703701,3,Province of Maguindanao,7.13333,124.3,ADM2,6295630|6255147|PH|14|1703701,Earth|Asia|Philippines|Autonomous Region in Muslim Mindanao|Province of Maguindanao,1,1
1982-180,1982-180_7521295,7521295,4,Northern Mindanao,8.5262,125.22669,ADM1,6295630|6255147|PH|10,Earth|Asia|Philippines|Northern Mindanao,1,1
1982-176,1982-176_1679788,1679788,2,Visayas,11,123.5,ISLS,6295630|6255147|PH|00,Earth|Asia|Philippines|Visayas,4,2
1982-175,1982-175_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1982-174,1982-174_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1982-173,1982-173_1694008,1694008,8,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,2
1982-111,1982-111_1704846,1704846,1,Luzon,16,121,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Luzon,4,1
1982-101,1982-101_7521296,7521296,4,Mimaropa,12.87014,121.13403,ADM1,6295630|6255147|PH|41,Earth|Asia|Philippines|Mimaropa,1,1
